case,event,Resource,completeTime,Variant,Variant index,Rfp_id,Permit travel permit number,Task,OrganizationalEntity,RequestedAmount,Activity,Permit TaskNumber,Permit BudgetNumber,Permit ProjectNumber,Project,Permit OrganizationalEntity,Permit RequestedBudget,Cost Type,Permit id,Permit ActivityNumber,RfpNumber,id,org:role
request for payment 73550,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-09 14:48:43.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73555_0,EMPLOYEE
request for payment 73550,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-09 14:48:55.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73554_0,SUPERVISOR
request for payment 73550,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-12 11:40:27.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73558_0,EMPLOYEE
request for payment 73550,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-12 11:41:59.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73559_0,SUPERVISOR
request for payment 73550,Request For Payment REJECTED by MISSING,STAFF MEMBER,2017-01-12 11:53:07.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73557_0,MISSING
request for payment 73550,Permit REJECTED by MISSING,STAFF MEMBER,2017-07-28 10:10:18.000,Variant 95,95,request for payment 73550,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73551,st_step 73556_0,MISSING
request for payment 73552,Permit SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-09 14:48:43.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,st_step 73555_0,EMPLOYEE
request for payment 73552,Permit FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-09 14:48:55.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,st_step 73554_0,SUPERVISOR
request for payment 73552,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2017-01-19 18:47:18.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,st_step 73561_0,EMPLOYEE
request for payment 73552,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2017-01-19 18:47:21.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,st_step 73560_0,SUPERVISOR
request for payment 73552,Request Payment,SYSTEM,2017-01-23 14:43:35.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,rp_request for payment 73552_15,UNDEFINED
request for payment 73552,Payment Handled,SYSTEM,2017-01-26 17:30:47.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,rp_request for payment 73552_16,UNDEFINED
request for payment 73552,Permit REJECTED by MISSING,STAFF MEMBER,2017-07-28 10:10:18.000,Variant 46,46,request for payment 73552,UNKNOWN,task 71977,organizational unit 65463,854.5798378437331,activity 505,UNKNOWN,budget 6198,UNKNOWN,project 503,organizational unit 65455,1979.272103997747,0,travel permit 73549,UNKNOWN,request for payment number 73553,st_step 73556_0,MISSING
