event,completeTime,case
37,2022-08-10 05:56:00,1332
22,2022-08-10 10:46:00,613
22,2022-08-10 10:46:00,613
22,2022-08-10 10:47:00,613
22,2022-08-10 10:48:00,613
22,2022-08-10 10:48:00,613
22,2022-08-10 10:48:00,613
22,2022-08-10 10:49:00,613
22,2022-08-10 10:52:00,613
22,2022-08-10 10:52:00,613
22,2022-08-10 10:52:00,613
22,2022-08-10 18:22:00,1423
22,2022-08-10 18:23:00,1423
22,2022-08-10 18:23:00,1423
37,2022-08-10 20:54:00,2539
37,2022-08-11 00:59:00,2609
37,2022-08-11 15:53:00,2493
22,2022-08-11 16:34:00,1304
22,2022-08-11 16:46:00,2516
22,2022-08-11 16:46:00,2516
22,2022-08-11 16:46:00,2516
22,2022-08-11 16:46:00,2516
5,2022-08-11 16:47:00,2516
37,2022-08-11 18:35:00,2379
37,2022-08-11 21:25:00,1526
22,2022-08-12 10:13:00,1476
22,2022-08-12 10:14:00,1476
22,2022-08-12 11:18:00,1476
22,2022-08-12 11:18:00,1476
21,2022-08-12 11:18:00,1476
22,2022-08-12 11:53:00,2496
22,2022-08-12 11:53:00,2496
5,2022-08-12 11:53:00,2496
22,2022-08-12 13:51:00,1413
22,2022-08-12 13:52:00,1413
22,2022-08-12 13:52:00,1413
37,2022-08-12 13:58:00,1567
5,2022-08-12 14:10:00,1413
22,2022-08-12 14:57:00,2652
37,2022-08-12 16:24:00,1380
37,2022-08-12 19:40:00,2428
37,2022-08-12 19:40:00,2428
22,2022-08-13 13:10:00,2324
22,2022-08-13 13:11:00,2324
22,2022-08-13 13:25:00,2569
22,2022-08-13 15:13:00,1279
22,2022-08-13 15:13:00,1279
22,2022-08-13 15:13:00,1279
22,2022-08-13 15:13:00,1279
5,2022-08-13 15:14:00,1279
22,2022-08-13 16:14:00,2435
22,2022-08-13 16:14:00,2435
37,2022-08-13 17:59:00,2366
37,2022-08-13 18:00:00,2366
22,2022-08-13 22:18:00,1500
22,2022-08-13 22:18:00,1500
